"tensor(4.8476, grad_fn=<AddBackward0>)"
"tensor(4.8159, grad_fn=<AddBackward0>)"
"tensor(4.5904, grad_fn=<AddBackward0>)"
"tensor(4.0917, grad_fn=<AddBackward0>)"
"tensor(3.8735, grad_fn=<AddBackward0>)"
"tensor(4.6275, grad_fn=<AddBackward0>)"
"tensor(4.3646, grad_fn=<AddBackward0>)"
"tensor(3.8103, grad_fn=<AddBackward0>)"
"tensor(3.6619, grad_fn=<AddBackward0>)"
"tensor(3.9603, grad_fn=<AddBackward0>)"
"tensor(5.0198, grad_fn=<AddBackward0>)"
"tensor(4.3246, grad_fn=<AddBackward0>)"
"tensor(4.2765, grad_fn=<AddBackward0>)"
"tensor(4.2054, grad_fn=<AddBackward0>)"
"tensor(4.3190, grad_fn=<AddBackward0>)"
"tensor(4.0358, grad_fn=<AddBackward0>)"
"tensor(4.3754, grad_fn=<AddBackward0>)"
"tensor(4.5680, grad_fn=<AddBackward0>)"
"tensor(3.7624, grad_fn=<AddBackward0>)"
"tensor(4.1241, grad_fn=<AddBackward0>)"
"tensor(4.3823, grad_fn=<AddBackward0>)"
"tensor(4.0544, grad_fn=<AddBackward0>)"
"tensor(3.9881, grad_fn=<AddBackward0>)"
"tensor(4.2576, grad_fn=<AddBackward0>)"
"tensor(3.6529, grad_fn=<AddBackward0>)"
"tensor(3.7928, grad_fn=<AddBackward0>)"
"tensor(3.6697, grad_fn=<AddBackward0>)"
"tensor(4.2701, grad_fn=<AddBackward0>)"
"tensor(3.6841, grad_fn=<AddBackward0>)"
"tensor(4.2617, grad_fn=<AddBackward0>)"
"tensor(5.1663, grad_fn=<AddBackward0>)"
"tensor(3.9748, grad_fn=<AddBackward0>)"
"tensor(4.3056, grad_fn=<AddBackward0>)"
"tensor(4.4127, grad_fn=<AddBackward0>)"
"tensor(4.1485, grad_fn=<AddBackward0>)"
"tensor(4.2757, grad_fn=<AddBackward0>)"
"tensor(3.7992, grad_fn=<AddBackward0>)"
"tensor(4.0884, grad_fn=<AddBackward0>)"
"tensor(3.5258, grad_fn=<AddBackward0>)"
"tensor(4.7271, grad_fn=<AddBackward0>)"
"tensor(4.4699, grad_fn=<AddBackward0>)"
"tensor(3.6658, grad_fn=<AddBackward0>)"
"tensor(4.3296, grad_fn=<AddBackward0>)"
"tensor(4.0556, grad_fn=<AddBackward0>)"
"tensor(4.0017, grad_fn=<AddBackward0>)"
"tensor(3.5567, grad_fn=<AddBackward0>)"
"tensor(4.1505, grad_fn=<AddBackward0>)"
"tensor(4.0536, grad_fn=<AddBackward0>)"
"tensor(4.6907, grad_fn=<AddBackward0>)"
"tensor(4.1190, grad_fn=<AddBackward0>)"
"tensor(4.2326, grad_fn=<AddBackward0>)"
"tensor(4.0149, grad_fn=<AddBackward0>)"
"tensor(3.3265, grad_fn=<AddBackward0>)"
"tensor(4.3541, grad_fn=<AddBackward0>)"
"tensor(4.2422, grad_fn=<AddBackward0>)"
"tensor(3.6344, grad_fn=<AddBackward0>)"
"tensor(3.6860, grad_fn=<AddBackward0>)"
"tensor(3.9709, grad_fn=<AddBackward0>)"
"tensor(3.9713, grad_fn=<AddBackward0>)"
"tensor(4.0416, grad_fn=<AddBackward0>)"
"tensor(4.1274, grad_fn=<AddBackward0>)"
"tensor(4.0373, grad_fn=<AddBackward0>)"
"tensor(3.8746, grad_fn=<AddBackward0>)"
"tensor(3.9623, grad_fn=<AddBackward0>)"
"tensor(4.3955, grad_fn=<AddBackward0>)"
"tensor(3.6766, grad_fn=<AddBackward0>)"
"tensor(3.8689, grad_fn=<AddBackward0>)"
"tensor(4.1187, grad_fn=<AddBackward0>)"
"tensor(4.1352, grad_fn=<AddBackward0>)"
"tensor(3.9689, grad_fn=<AddBackward0>)"
"tensor(4.3980, grad_fn=<AddBackward0>)"
"tensor(3.8345, grad_fn=<AddBackward0>)"
"tensor(4.1711, grad_fn=<AddBackward0>)"
"tensor(3.7010, grad_fn=<AddBackward0>)"
"tensor(3.6577, grad_fn=<AddBackward0>)"
"tensor(3.5853, grad_fn=<AddBackward0>)"
"tensor(3.7480, grad_fn=<AddBackward0>)"
"tensor(3.6718, grad_fn=<AddBackward0>)"
"tensor(3.4950, grad_fn=<AddBackward0>)"
"tensor(3.7192, grad_fn=<AddBackward0>)"
"tensor(4.1330, grad_fn=<AddBackward0>)"
